KodeOrganisasi|Organisasi
1.04.007|Sudin Perumahan dan Gedung Pemda - Kep. Seribu
1.04.008|Unit Pengelola Rumah Susun Wilayah I
1.04.009|Unit Pengelola Rumah Susun Wilayah II
1.04.010|Unit Pengelola Rumah Susun Wilayah III
1.05.020|Dinas Penataan Kota
1.05.021|Sudin Penataan Kota - JAKPUS
1.05.022|Sudin Penataan Kota - JAKUT
1.05.023|Sudin Penataan Kota - JAKBAR
1.05.024|Sudin Penataan Kota - JAKSEL
1.05.025|Sudin Penataan Kota - JAKTIM
1.05.026|Sudin Penataan Kota - Kep. Seribu
1.06.001|BADAN PERENCANAAN PEMBANGUNAN DAERAH
1.06.002|Kantor Perencanaan Pembangunan - JAKPUS
1.06.003|Kantor Perencanaan Pembangunan - JAKUT
1.06.004|Kantor Perencanaan Pembangunan - JAKBAR
1.06.005|Kantor Perencanaan Pembangunan - JAKSEL
1.06.006|Kantor Perencanaan Pembangunan - JAKTIM
1.06.007|Kantor Perencanaan Pembangunan Kab. Adm - Kep. Seribu
1.07.008|DINAS PERHUBUNGAN DAN TRANSPORTASI
1.07.010|Unit Pengelola Perparkiran
1.07.011|Sudin Perhubungan - JAKPUS
1.07.012|Sudin Perhubungan - JAKUT
1.07.013|Sudin Perhubungan - JAKBAR
1.07.014|Sudin Perhubungan - JAKSEL
1.07.015|Sudin Perhubungan - JAKTIM
1.07.016|Sudin Perhubungan - Kep. Seribu
1.07.017|UPT Pusat Pengujian Kendaraan Bermotor Pulo Gadung
1.07.018|Unit Pengelola Terminal Angkutan Jalan
1.07.019|Unit Pengelola Angkutan Perairan dan Kepelabuhanan
1.07.020|Unit Pengelola Angkutan Sekolah
1.07.021|Unit Pengelola Sistem Pengendalian Lalulintas
1.07.022|Unit Pengelola Terminal Terpadu Pulo Gebang
1.07.023|UPT Pusat Pengujian Kendaraan Bermotor Ujung Menteng
1.07.024|UPT Pusat Pengujian Kendaraan Bermotor Cilincing
1.07.025|Unit Pengelola Pengendalian Lalu Lintas Jalan Berbayar Elektronik (ERP)
1.08.001|DINAS PERTAMANAN DAN PEMAKAMAN
1.08.021|Sudin Pertamanan dan Pemakaman - JAKPUS
1.08.022|Sudin Pertamanan dan Pemakaman - JAKUT
1.08.023|Sudin Pertamanan dan Pemakaman - JAKBAR
1.08.024|Sudin Pertamanan dan Pemakaman - JAKSEL
1.08.025|Sudin Pertamanan dan Pemakaman - JAKTIM
1.08.003|BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH
1.08.006|Kantor Lingkungan Hidup - JAKPUS
1.08.009|Kantor Lingkungan Hidup - JAKUT
1.08.012|Kantor Lingkungan Hidup - JAKBAR
1.08.015|Kantor Lingkungan Hidup - JAKSEL
1.08.018|Kantor Lingkungan Hidup - JAKTIM
1.08.026|Kantor Lingkungan Hidup - Kab Adm Kep. Seribu
1.08.030|UPT Laboratorium Lingkungan Hidup Daerah
1.08.004|DINAS KEBERSIHAN
1.08.007|Sudin Kebersihan - JAKPUS
1.08.010|Sudin Kebersihan - JAKUT
1.08.013|Sudin Kebersihan - JAKBAR
1.08.016|Sudin Kebersihan - JAKSEL
1.08.019|Sudin Kebersihan - JAKTIM
1.08.027|KANTOR PENGELOLA TAMAN MARGASATWA RAGUNAN
1.10.001|DINAS KEPENDUDUKAN DAN CATATAN SIPIL
1.10.002|Sudin Kependudukan dan Catatan Sipil - JAKPUS
1.10.003|Sudin Kependudukan dan Catatan Sipil - JAKUT
1.10.004|Sudin Kependudukan dan Catatan Sipil - JAKBAR
1.10.005|Sudin Kependudukan dan Catatan Sipil - JAKSEL
1.10.006|Sudin Kependudukan dan Catatan Sipil - JAKTIM
1.10.007|Sudin Kependudukan dan Catatan Sipil - Kep.Seribu
1.13.001|DINAS SOSIAL
1.13.002|PSAA Balita Tunas Bangsa
1.13.003|PSAA Putra Utama 2
1.13.006|PSAA Putra Utama 4
1.13.007|PSAA Putra Utama 1
1.13.008|PSBR Taruna Jaya
1.13.009|PSTW Budi Mulia 1
1.13.010|PSP Bhakti kasih
1.13.011|PSTW Budi Mulia 2
1.13.012|PSTW Budi Mulia 3
1.13.013|PSTW Budi Mulia 4
1.13.015|PSBD Budi Bhakti
1.13.016|PSBN Cahaya Bathin
1.13.017|PSBL Harapan Sentosa 1
1.13.018|PSBG Belaian Kasih
1.13.019|PSBL Harapan Sentosa 2
1.13.020|PSBL Harapan Sentosa 3
1.13.021|PSBI Bangun Daya 1
1.13.022|PSBI Bangun Daya 2
1.13.023|PSBK Harapan Jaya
1.13.024|PSAA Putra Utama 3
1.13.025|PSPP Khusnul Khotimah
1.13.026|PSBKW Harapan Mulya
1.13.027|Sudin Sosial - JAKPUS
1.13.028|Sudin Sosial - JAKUT
1.13.029|Sudin Sosial - JAKBAR
1.13.030|Sudin Sosial - JAKSEL
1.13.031|Sudin Sosial - JAKTIM
1.14.001|DINAS TENAGA KERJA DAN TRANSMIGRASI
1.14.002|PPKD Jakarta Pusat
1.14.003|PPKD Jakarta Utara
1.14.004|PPKD Jakarta Barat
1.14.005|PPKD Jakarta Selatan
1.14.006|PPKD Jakarta Timur
1.14.007|Pusat Pelatihan Kerja Khusus Pengembangan Las
1.14.008|Pusat Pelatihan Kerja Pengembangan Industri
1.14.009|Pusat Higiene Perusahaan, Kesehatan & Keselamatan Kerja
1.14.011|Pusat Penyiapan & Pengembangan Produktivitas Tenaga Kerja
1.14.012|Sudin Tenaga Kerja dan Transmigrasi - JAKPUS
1.14.013|Sudin Tenaga Kerja dan Transmigrasi - JAKUT
1.14.014|Sudin Tenaga Kerja dan Transmigrasi - JAKBAR
1.14.015|Sudin Tenaga Kerja dan Transmigrasi - JAKSEL
1.14.016|Sudin Tenaga Kerja dan Transmigrasi - JAKTIM
1.15.001|DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, SERTA PERDAGANGAN
1.15.002|Pusat Pendidikan dan Pelatihan Koperasi Usaha Mikro Kecil dan Menengah dan Perdagangan
1.15.003|Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKPUS
1.15.004|Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKUT
1.15.005|Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKBAR
1.15.006|Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKSEL
1.15.007|Sudin Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - JAKTIM
1.15.008|Seksi Dinas Koperasi, Usaha Mikro, Kecil dan Menengah, dan Perdagangan - Kep.Seribu
1.15.009|Unit Pengelola Dana Bergulir Pemberdayaan Ekonomi Masyarakat Kelurahan
1.15.011|Unit Pengelola Kawasan Pusat Pengembangan Usaha Mikro, Kecil dan Menengah serta Permukiman Pulogadung
1.15.012|UPT Balai Metrologi
1.15.014|Unit Pengelola Lokasi Binaan & Pusat Promosi UMKM
1.16.001|BADAN PEMBINAAN BUMD DAN PENANAMAN MODAL
1.17.001|DINAS PARIWISATA DAN KEBUDAYAAN
1.17.003|Unit Pengelola Museum Kesejarahan Jakarta
1.17.004|Unit Pengelola Museum Kebaharian Jakarta
1.17.006|Unit Pengelola Museum Seni Rupa Jakarta
1.17.010|UP Konservasi dan Cagar Budaya
1.17.011|Unit Pengelola Graha Wisata
1.17.013|Pusat Pelayanan Informasi Pariwisata dan Kebudayaan
1.17.014|Pusat Pelatihan dan Sertifikasi Profesi Pariwisata
1.17.017|Sudin Pariwisata dan Kebudayaan - JAKPUS
1.17.020|Sudin Pariwisata dan Kebudayaan - JAKUT
1.17.023|Sudin Pariwisata dan Kebudayaan - JAKBAR
1.17.025|Sudin Pariwisata dan Kebudayaan - Kep. Seribu
1.17.029|Sudin Pariwisata dan Kebudayaan - JAKTIM
1.17.031|Sudin Pariwisata dan Kebudayaan - JAKSEL
1.17.033|Unit Pengelola Kawasan Kota Tua
1.17.035|Pusat Pelatihan Seni Budaya
1.17.036|Unit Pengelola Pusat Kesenian Jakarta Taman Ismail Marzuki
1.17.034|KANTOR PENGELOLA KAWASAN MONAS
1.18.001|Unit Pengelola Gelanggang Remaja Jakarta Selatan
1.18.002|DINAS OLAH RAGA DAN PEMUDA
1.18.003|Unit Pengelola Gelanggang Olahraga Rawamangun
1.18.004|Unit Pengelola Gelanggang Olahraga Ragunan
1.18.005|Unit Pengelola Gelanggang Olahraga Sunter
1.18.006|Unit Pengelola Gelanggang Olahraga Bahtera Jaya
1.18.007|BLUD UPT Stadion Lebak Bulus
1.18.008|Sudin Olah Raga dan Pemuda - JAKPUS
1.18.009|Unit Pengelola Gelanggang Remaja Jakarta Pusat
1.18.010|Sudin Olah Raga dan Pemuda - JAKUT
1.18.011|Unit Pengelola Gelanggang Remaja Jakarta Utara
1.18.012|Sudin Olah Raga dan Pemuda - JAKBAR
1.18.013|Unit Pengelola Gelanggang Remaja Jakarta Barat
1.18.014|Sudin Pemuda dan Olah Raga - JAKSEL
1.18.015|Sudin Olah Raga dan Pemuda - JAKTIM
1.18.016|Unit Pengelola Gelanggang Remaja Jakarta Timur
1.18.017|Unit Pengelola Gelanggang Olahraga Ciracas Jakarta Timur
1.18.018|Unit Pengelola Gelanggang Olahraga Cendrawasih
1.19.001|BADAN KESATUAN BANGSA DAN POLITIK
1.19.002|Kantor Kesatuan Bangsa dan Politik - JAKPUS
1.19.003|Kantor Kesatuan Bangsa dan Politik - JAKUT
1.19.004|Kantor Kesatuan Bangsa dan Politik - JAKBAR
1.19.005|Kantor Kesatuan Bangsa dan Politik - JAKSEL
1.19.006|Kantor Kesatuan Bangsa dan Politik - JAKTIM
1.20.001|DPRD Propinsi
1.20.002|SEKRETARIAT DPRD
1.20.005|BIRO TATA PEMERINTAHAN
1.20.006|BIRO KEPALA DAERAH DAN KERJASAMA LUAR NEGERI
1.20.007|BIRO HUKUM
1.20.008|BIRO ORGANISASI DAN REFORMASI BIROKRASI
1.20.009|BIRO UMUM
1.20.010|BIRO PEREKONOMIAN
1.20.013|BIRO KESEJAHTERAAN SOSIAL
1.20.016|BIRO PENDIDIKAN DAN MENTAL SPIRITUAL
1.20.398|Biro Administrasi Keuangan dan Aset Sekda
1.20.399|Biro Penataan Kota dan Lingkungan Hidup
1.20.011|BADAN PENGELOLA KEUANGAN DAN ASET DAERAH
1.20.381|Pusat Penyimpanan Barang Daerah
1.20.382|Kantor Perbendaharaan dan Kas Daerah - JAKPUS
1.20.383|Kantor Perbendaharaan dan Kas Daerah - JAKUT
1.20.384|Kantor Perbendaharaan dan Kas Daerah - JAKBAR
1.20.385|Kantor Perbendaharaan dan Kas Daerah - JAKSEL
1.20.386|Kantor Perbendaharaan dan Kas Daerah - JAKTIM
1.20.413|Kantor Pengelolaan Aset Daerah - JAKPUS
1.20.417|Kantor Pengelolaan Aset Daerah - JAKUT
1.20.421|Kantor Pengelolaan Aset Daerah - JAKBAR
1.20.425|Kantor Pengelolaan Aset Daerah - JAKSEL
1.20.429|Kantor Pengelolaan Aset Daerah - JAKTIM
1.20.433|Kantor Pengelolaan Keuangan Daerah - Kep. Seribu
1.20.014|SATPOL PP
1.20.267|Satpol PP - JAKSEL
1.20.345|Satpol PP - JAKTIM
1.20.359|Satpol PP - JAKPUS
1.20.360|Satpol PP - JAKUT
1.20.361|Satpol PP - JAKBAR
1.20.366|Satpol PP - Kab. Adm Kep. Seribu
1.20.015|DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN
1.20.076|Sudin Penanggulangan Kebakaran dan Penyelamatan - JAKPUS
1.20.118|Sudin Penanggulangan Kebakaran dan Penyelamatan - JAKUT
1.20.187|Sudin Penanggulangan Kebakaran dan Penyelamatan - JAKBAR
1.20.268|Sudin Penanggulangan Kebakaran dan Penyelamatan - JAKSEL
1.20.346|Sudin Penanggulangan Kebakaran dan Penyelamatan - JAKTIM
1.20.379|Sudin Penanggulangan Kebakaran dan Penyelamatan - Kep. Seribu
1.20.017|DINAS PELAYANAN PAJAK
1.20.075|Sudin Pelayanan Pajak - JAKPUS
1.20.117|Sudin Pelayanan Pajak - JAKUT
1.20.186|Sudin Pelayanan Pajak - JAKBAR
1.20.266|Sudin Pelayanan Pajak - JAKSEL
1.20.347|Sudin Pelayanan Pajak - JAKTIM
1.20.018|INSPEKTORAT
1.20.019|BADAN KEPEGAWAIAN DAERAH
1.20.367|Kantor Kepegawaian - JAKPUS
1.20.368|Kantor Kepegawaian - JAKUT
1.20.369|Kantor Kepegawaian - JAKBAR
1.20.370|Kantor Kepegawaian - JAKSEL
1.20.371|Kantor Kepegawaian - JAKTIM
1.20.372|Kantor Kepegawaian - KEP SERIBU
1.20.020|BADAN PENDIDIKAN DAN PELATIHAN
1.20.021|Kota Administrasi Jakarta Pusat
1.20.022|Kecamatan Tanah Abang - JAKPUS
1.20.023|Kelurahan Gelora - JAKPUS
1.20.024|Kelurahan Bendungan Hilir - JAKPUS
1.20.025|Kelurahan Karet Tengsin - JAKPUS
1.20.026|Kelurahan Petamburan - JAKPUS
1.20.027|Kelurahan Kebon Melati - JAKPUS
1.20.028|Kelurahan Kebon Kacang - JAKPUS
1.20.029|Kelurahan Kampung Bali - JAKPUS
1.20.030|Kecamatan Menteng - JAKPUS
1.20.031|Kelurahan Menteng - JAKPUS
1.20.032|Kelurahan Pegangsaan - JAKPUS
1.20.033|Kelurahan Cikini - JAKPUS
1.20.034|Kelurahan Gondangdia - JAKPUS
1.20.035|Kelurahan Kebon Sirih - JAKPUS
1.20.036|Kecamatan Senen - JAKPUS
1.20.037|Kelurahan Kenari - JAKPUS
1.20.038|Kelurahan Paseban - JAKPUS
1.20.039|Kelurahan Kramat - JAKPUS
1.20.040|Kelurahan Kwitang - JAKPUS
1.20.041|Kelurahan Senen - JAKPUS
1.20.042|Kelurahan Bungur - JAKPUS
1.20.043|Kecamatan Cempaka Putih - JAKPUS
1.20.044|Kelurahan Rawasari - JAKPUS
1.20.045|Kelurahan Cempaka Putih Timur - JAKPUS
1.20.046|Kelurahan Cempaka Putih Barat - JAKPUS
1.20.047|Kecamatan Johar Baru - JAKPUS
1.20.048|Kelurahan Johar Baru - JAKPUS
1.20.049|Kelurahan Kampung Rawa - JAKPUS
1.20.050|Kelurahan Galur - JAKPUS
1.20.051|Kelurahan Tanah Tinggi - JAKPUS
1.20.052|Kecamatan Kemayoran - JAKPUS
1.20.053|Kelurahan Harapan Mulia - JAKPUS
1.20.054|Kelurahan Cempaka Baru - JAKPUS
1.20.055|Kelurahan Sumur Batu - JAKPUS
1.20.056|Kelurahan Serdang - JAKPUS
1.20.057|Kelurahan Kebon Kosong - JAKPUS
1.20.058|Kelurahan Kemayoran - JAKPUS
1.20.059|Kelurahan Utan Panjang - JAKPUS
1.20.060|Kelurahan Gunung Sahari Selatan - JAKPUS
1.20.061|Kecamatan Sawah Besar - JAKPUS
1.20.062|Kelurahan Pasar Baru - JAKPUS
1.20.063|Kelurahan Karang Anyar - JAKPUS
1.20.064|Kelurahan Kartini - JAKPUS
1.20.065|Kelurahan Gunung Sahari Utara - JAKPUS
1.20.066|Kelurahan Mangga Dua Selatan - JAKPUS
1.20.067|Kecamatan Gambir - JAKPUS
1.20.068|Kelurahan Cideng - JAKPUS
1.20.069|Kelurahan Petojo Selatan - JAKPUS
1.20.070|Kelurahan Gambir - JAKPUS
1.20.071|Kelurahan Kebon Kelapa - JAKPUS
1.20.072|Kelurahan Petojo Utara - JAKPUS
1.20.073|Kelurahan Duri Pulo - JAKPUS
1.20.078|Kota Administrasi Jakarta Utara
1.20.079|Kecamatan Penjaringan - JAKUT
1.20.080|Kelurahan Kamal Muara - JAKUT
1.20.081|Kelurahan Kapuk Muara - JAKUT
1.20.082|Kelurahan Pejagalan - JAKUT
1.20.083|Kelurahan Penjaringan - JAKUT
1.20.084|Kelurahan Pluit - JAKUT
1.20.085|Kecamatan Pademangan - JAKUT
1.20.086|Kelurahan Ancol - JAKUT
1.20.087|Kelurahan Pademangan Barat - JAKUT
1.20.088|Kelurahan Pademangan Timur - JAKUT
1.20.089|Kecamatan Tanjung Priok - JAKUT
1.20.090|Kelurahan Sunter Jaya - JAKUT
1.20.091|Kelurahan Sunter Agung - JAKUT
1.20.092|Kelurahan Papanggo - JAKUT
1.20.093|Kelurahan Warakas - JAKUT
1.20.094|Kelurahan Sungai Bambu - JAKUT
1.20.095|Kelurahan Kebon Bawang - JAKUT
1.20.096|Kelurahan Tanjung Priok - JAKUT
1.20.097|Kecamatan Koja - JAKUT
1.20.098|Kelurahan Tugu Utara - JAKUT
1.20.099|Kelurahan Tugu Selatan - JAKUT
1.20.100|Kelurahan Rawa Badak Utara - JAKUT
1.20.101|Kelurahan Koja - JAKUT
1.20.102|Kelurahan Rawa Badak Selatan - JAKUT
1.20.103|Kelurahan Lagoa - JAKUT
1.20.104|Kecamatan Kelapa Gading - JAKUT
1.20.105|Kelurahan Kelapa Gading Timur - JAKUT
1.20.106|Kelurahan Kelapa Gading Barat - JAKUT
1.20.107|Kelurahan Pegangsaan Dua - JAKUT
1.20.108|Kecamatan Cilincing - JAKUT
1.20.109|Kelurahan Sukapura - JAKUT
1.20.110|Kelurahan Rorotan - JAKUT
1.20.111|Kelurahan Marunda - JAKUT
1.20.112|Kelurahan Cilincing - JAKUT
1.20.113|Kelurahan Semper Timur - JAKUT
1.20.114|Kelurahan Semper Barat - JAKUT
1.20.115|Kelurahan Kalibaru - JAKUT
